cospar_num,launch_date,mission,norad_num,object,predicted_reentry_date,reentry_type
"2020-012AG
","Feb 17, 2020",Starlink Launch 4,45208,STARLINK-1211 (ID 45208),12/5/23,Payload
"2020-012AM
","Feb 17, 2020",Starlink Launch 4,45213,STARLINK-1232 (ID 45213),12/3/23,Payload
"2020-025BF
","Apr 22, 2020",Launch L6,45584,STARLINK-1343 (ID 45584),11/12/23,Payload
"2020-073AS
","Oct 18, 2020",Launch L-13,46056,STARLINK-1561 (ID 46056),11/14/23,Payload
"2007-006D
","Mar 09, 2007",STPSAT 1,30775,STPSAT 1 (ID 30775),11/8/23,Payload
"2023-040B
","Mar 23, 2023",Cosmos 2567,55979,SL-4 R/B (ID 55979),11/22/23,Payload
"2023-176B
","Nov 16, 2023",HAIYANG 3A,58350,YZ-1S R/B (ID 58350),11/20/23,Payload
"2022-017AJ
","Feb 25, 2022",Starlink Group 4-11,51800,STARLINK-3600 (ID 51800),12/5/23,Payload
"2020-057T
","Aug 18, 2020",Starlink Launch 10,46134,STARLINK-1638 (ID 46134),11/29/23,Payload
"2020-014E
","Feb 19, 2020",XJS,45253,XJS F (ID 45253),11/5/23,Payload
"2020-025BF
","Apr 22, 2020",Starlink Launch 6,45584,STARLINK-1343 (ID 45584),11/12/23,Payload
"2020-019F
","Mar 18, 2020",Starlink Launch 5,45365,STARLINK-1317 (ID 45365),11/14/23,Payload
"2020-073AS
","Oct 18, 2020",Starlink Launch 13,46710,STARLINK-1811 (ID 46710),11/18/23,Payload
"2020-025AY
","Apr 22, 2020",Starlink Launch 6,45577,STARLINK-1330 (ID 45577),11/21/23,Payload
"2020-055AQ
","Aug 07, 2020",Starlink Launch 9,46065,STARLINK-1515 (ID 46065),11/29/23,Payload
"2020-038G
","Jun 13, 2020",Starlink Launch 8,45736,STARLINK-1472 (ID 45736),12/2/23,Payload
"2019-074AT
","Nov 11, 2019",Starlink Launch 1,44754,STARLINK-1049 (ID 44754),10/28/23,Payload
"2022-010R
","Feb 03, 2022",Starlink Group 4-7,51471,STARLINK-3165 (ID 51471),10/17/23,Payload
"1971-028A
","Apr 07, 1971",COSMOS 405,5117,COSMOS 405 (ID 5117),11/3/23,Payload
"2023-061AE
","May 04, 2023",Starlink Group 5-6,56402,STARLINK-6269 (ID 56402),10/23/23,Payload
"2023-015AD
","Feb 02, 2023",Launch Group 5-3,55476,STARLINK-5596 (ID 55476),9/27/23,Payload
"2022-060G
","Jun 05, 2022",SZ-14,54704,SZ-14 MODULE (ID 54704),10/12/23,Payload
"2020-088AJ
","Nov 25, 2020",Launch L15,47154,STARLINK-1868 (ID 47154),10/1/23,Payload
"2020-012C
","Feb 17, 2020",Starlink Launch 4,45180,STARLINK-1192 (ID 45180),10/6/23,Payload
"2023-107K
","Jul 28, 2023",Starlink Group 6-7,57466,STARLINK-30156 (ID 57466),10/17/23,Payload
"2021-021AR
","Mar 14, 2021",Starlink Launch 21,47899,STARLINK-2359 (ID 47899),10/18/23,Payload
"2019-074AB
","Nov 11, 2019",Starlink Launch 1,44738,STARLINK-1033 (ID 44738),10/8/23,Payload
"2023-147K
","Sep 24, 2023",Starlink Group 6-18,57922,STARLINK-30490 (ID 57922),10/1/23,Payload
"2019-079A
","Nov 25, 2019",Kosmos 2542,44797,COSMOS 2542 (ID 44797),10/24/23,Payload
"2023-051A
","Apr 07, 2023","Flight Number 5, SQX-1 Flight Test",56172,DUMMY MASS 3/SQX-1 (ID 56172),10/29/23,Payload
"2020-001AV
","Jan 07, 2020",Launch L2,44957,STARLINK-1074 (ID 44957),9/29/23,Payload
"2019-039C
","Jul 10, 2019",COSMOS 2537,44423,COSMOS 2537 (ID 44423),10/6/23,Payload
"2023-026H
","Feb 27, 2023",Starlink Group 6-1,55702,STARLINK-30042 (ID 55702),9/13/23,Payload
"2023-026V
","Feb 27, 2023",Starlink Group 6-1,55714,STARLINK-30059 (ID 55714),9/24/23,Payload
"2021-017BK
","Mar 04, 2021",Launch L17,47779,STARLINK-2212 (ID 47779),9/25/23,Payload
"2021-021AC
","Mar 14, 2021",Launch L21,47886,STARLINK-2345 (ID 47886),9/27/23,Payload
"2023-065M
","May 14, 2023",Starlink Group 5-9,56514,STARLINK-5343 (ID 56514),9/4/23,Payload
"2023-107X
","Jul 28, 2023",Group 6-7,57478,STARLINK-30167 (ID 57478),9/7/23,Payload
"2019-074AC
","Nov 11, 2019",Starlink Launch-1,44739,STARLINK-1034 (ID 44739),9/11/23,Payload
"2019-074U
","Nov 11, 2019",Launch L1,44731,STARLINK-1026 (ID 44731),9/22/23,Payload
"2020-025AG
","Apr 22, 2020",Starlink Launch 6,45561,STARLINK-1348 (ID 45561),8/4/23,Payload
"2020-035AP
","Jun 04, 2020",Launch L7,45694,STARLINK-1419 (ID 45694),9/24/23,Payload
"2023-119T
","Aug 11, 2023",Group 6-9,57619,STARLINK-30220 (ID 57619),9/10/23,Payload
"2023-026P
","Feb 27, 2023",Group 6-1,55708,STARLINK-30058 (ID 55708),8/7/23,Payload
"2022-002CR
","Jan 13, 2022","Transporter-3, Capella-8 (Whitney-6)",51071,CAPELLA-8 (WHITNEY-6) (ID 51071),9/6/23,Payload
"1979-077A
","Aug 28, 1979",COSMOS 1124,11509,COSMOS 1124 (ID 11509),9/27/23,Payload
