AF,AltNames,Apogee,Bus,DDate,DFlag,Dest,Diameter,DryFlag,DryMass,IF,Inc,JCAT,LDate,LFlag,Length,Manufacturer,Mass,MassFlag,Motor,Name,ODate,OQUAL,OpOrbit,Owner,PF,PLName,Parent,Perigee,Piece,Primary,SDate,Satcat,Shape,Span,SpanFlag,State,Status,TotFlag,TotMass,Type
,-,538,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55009,2023 Jan  3,,0.3,GOS,10,?,-,STAR VIBE,2023 Jan  3,-,LLEO/S,SCANW,,STAR VIBE,A10827,526,2023-001A,Earth,2023 Jan  3 1556:31,55009,Box+ 2 pan,0.3,,PL,O,,10,P
,Geneo,538,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55010,2023 Jan  3,,0.3,OCOSB,10,?,-,Menut,2023 Jan  3,-,LLEO/S,OCOSB/IEEC,,Menut,A10827,525,2023-001B,Earth,2023 Jan  3 1556:08,55010,Box+ 2 pan,0.3,,E,O,,10,P
,-,538,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55011,2023 Jan  3,,0.3,GOMSP,10,?,-,BRO-8,2023 Jan  3,-,LLEO/S,UNSEEN,,BRO-8,A10827,525,2023-001C,Earth,2023 Jan  3 1555:57,55011,Box,0.3,,F,O,,10,P
,-,539,Cubesat 3U,-,,-,0.1,,4,,97.50,S55012,2023 Jan  3,,0.3,PLNSST,4,,-,Connecta T1.2,2023 Jan  3,-,LLEO/S,PLNSST,,Connecta T1.2,A10827,524,2023-001D,Earth,2023 Jan  3 1555:47,55012,Box,0.3,,TR,O,,4,P
,Incubed Pro,537,Cubesat 3U,-,,-,0.1,,4.600,,97.49,S55013,2023 Jan  3,,0.3,SPIREG,4.600,,-,Lemur-2 PhilAri,2023 Jan  3,-,LLEO/S,SPIREL/ESA,,Lemur-2,A10827,525,2023-001E,Earth,2023 Jan  3 1600:43,55013,Box+2 pan,0.3,,L,O,,4.600,P
,-,538,Cubesat 3U,-,,-,0.1,,4.600,,97.50,S55014,2023 Jan  3,,0.3,SPIREG,4.600,,-,Lemur-2 Disclaimer,2023 Jan  3,-,LLEO/S,SPIRE,,Lemur-2,A10827,524,2023-001F,Earth,2023 Jan  3 1556:20,55014,Box+2 pan,0.3,,US,O,,4.600,P
,-,538,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55015,2023 Jan  3,,0.3,NANAV,10,?,-,Birkeland,2023 Jan  3,-,LLEO/S,NLR/NDRE,,MilSpace2-1,A10827,524,2023-001G,Earth,2023 Jan  3 1557:58,55015,Box+ 2 pan,0.3,,NL,O,,10,P
,-,538,Cubesat 6U,-,,-,0.2,?,10,,97.49,S55016,2023 Jan  3,,0.3,ENDUR,10,?,-,SharedSat 2211,2023 Jan  3,-,LLEO/S,ENDUR,,Endurosat Platform-2,A10827,524,2023-001H,Earth,2023 Jan  3 1554:31,55016,Box+2 pan,0.3,,BGN,O,?,10,P       ?
,AIS-1,537,Cubesat 3U,-,,-,0.1,,4.600,,97.49,S55017,2023 Jan  3,,0.3,SPIREG,4.600,,-,Lemur-2 SteveAlbers,2023 Jan  3,-,LLEO/S,SPIRE,,Lemur-2,A10827,524,2023-001J,Earth,2023 Jan  3 1556:51,55017,Box+2 pan,0.3,,US,O,,4.600,P
,-,537,Cubesat 6U,-,,-,0.2,?,10,,97.50,S55018,2023 Jan  3,,0.3,ISISBV,10,?,-,KSF3-C,2023 Jan  3,-,LLEO/S,KLEOS,,KSF3-C,A10827,525,2023-001K,Earth,2023 Jan  3 1559:21,55018,Box,0.3,,L,O,?,10,P
